epoch,train_loss,test_loss,cer,wer
0.0,3.25246262550354,3.0130836963653564,1.0,0.9999533337969454
1.0,2.791025161743164,0.0,0.0,0.0
2.0,1.5954065322875977,0.0,0.0,0.0
3.0,1.3106564283370972,0.0,0.0,0.0
4.0,1.206541895866394,0.0,0.0,0.0
5.0,1.1116338968276978,0.9584052684355759,0.26248163774768096,0.8057431713202183
6.0,1.0295032262802124,0.0,0.0,0.0
7.0,0.957234263420105,0.0,0.0,0.0
8.0,0.8958202004432678,0.0,0.0,0.0
9.0,0.8403098583221436,0.0,0.0,0.0
10.0,0.7934719324111938,0.577774976386505,0.1647645650587519,0.5597785267513198
11.0,0.7537956833839417,0.0,0.0,0.0
12.0,0.7180628776550293,0.0,0.0,0.0
13.0,0.6870554089546204,0.0,0.0,0.0
14.0,0.6595032811164856,0.0,0.0,0.0
15.0,0.6374552845954895,0.42232042328030084,0.12030436712014228,0.43601402176865556
16.0,0.6134707927703857,0.0,0.0,0.0
17.0,0.5946973562240601,0.0,0.0,0.0
18.0,0.577201783657074,0.0,0.0,0.0
19.0,0.5612062811851501,0.0,0.0,0.0
20.0,0.5256602764129639,0.33855139215787244,0.09390776269838304,0.35605188295180307
21.0,0.5190389752388,0.0,0.0,0.0
22.0,0.5163558721542358,0.0,0.0,0.0
23.0,0.5132778286933899,0.0,0.0,0.0
24.0,0.5090991854667664,0.0,0.0,0.0
25.0,0.5072354078292847,0.32589933276176464,0.08999255619329079,0.341225825396658
26.0,0.5023046731948853,0.0,0.0,0.0
27.0,0.4994561970233917,0.0,0.0,0.0
28.0,0.4942632019519806,0.0,0.0,0.0
29.0,0.4906529486179352,0.0,0.0,0.0
30.0,0.4855062663555145,0.29864962175995297,0.08296308087950884,0.3177622785738594
31.0,0.4822919964790344,0.0,0.0,0.0
32.0,0.4456436336040497,0.0,0.0,0.0
33.0,0.4389857053756714,0.0,0.0,0.0
34.0,0.43762147426605225,0.0,0.0,0.0
35.0,0.4351556599140167,0.5776603897412618,0.16294622142152407,0.5232870602289124
36.0,0.43377435207366943,0.0,0.0,0.0
37.0,0.4318349063396454,0.0,0.0,0.0
38.0,0.43010208010673523,0.0,0.0,0.0
39.0,0.4276123046875,0.0,0.0,0.0
40.0,0.4253982901573181,0.5735072294871012,0.1586969400218906,0.5131595862326734
41.0,0.4236880838871002,0.0,0.0,0.0
42.0,0.42077934741973877,0.0,0.0,0.0
43.0,0.4181424081325531,0.0,0.0,0.0
44.0,0.4154696464538574,0.0,0.0,0.0
45.0,0.419731080532074,0.5696070055166881,0.15437095897735878,0.5002024974353078
46.0,0.4099026024341583,0.0,0.0,0.0
47.0,0.4078012704849243,0.0,0.0,0.0
48.0,0.40490180253982544,0.0,0.0,0.0
49.0,0.4024839699268341,0.0,0.0,0.0
50.0,0.3694721758365631,0.5247387786706288,0.1450933666590186,0.4700957797096995
51.0,0.36624056100845337,0.0,0.0,0.0
52.0,0.36418089270591736,0.0,0.0,0.0
53.0,0.36366793513298035,0.0,0.0,0.0
54.0,0.36317530274391174,0.0,0.0,0.0
55.0,0.3624136447906494,0.510421613852183,0.14174752623520492,0.4632967062415951
56.0,0.36174166202545166,0.0,0.0,0.0
57.0,0.36113062500953674,0.0,0.0,0.0
58.0,0.36098596453666687,0.0,0.0,0.0
59.0,0.35909315943717957,0.0,0.0,0.0
60.0,0.36021551489830017,0.5095615088939668,0.14084592211118552,0.45461000263956114
61.0,0.35837724804878235,0.0,0.0,0.0
62.0,0.3567410409450531,0.0,0.0,0.0
63.0,0.3565385341644287,0.0,0.0,0.0
64.0,0.35535314679145813,0.0,0.0,0.0
65.0,0.35792484879493713,0.5086047914293077,0.13893481611889835,0.45137245514066726
66.0,0.35215333104133606,0.0,0.0,0.0
67.0,0.35401859879493713,0.0,0.0,0.0